		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 249.984375	M = 128000	N = 8	m = 9	n = 1024000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000  277  266  250  236  242  250  275  257  7.946481 0.438715 SUCCESS  76
100101000  270  255  252  252  264  256  261  248  3.276032 0.915860 SUCCESS  77
100110000  249  263  259  265  261  240  246  274  5.340453 0.720645 SUCCESS  78
100111000  238  234  255  224  232  251  227  230  9.729430 0.284532 SUCCESS  79
101000000  265  224  251  227  261  260  243  228  9.034869 0.339363 SUCCESS  80
101000100  257  228  204  252  243  234  255  250 12.331838 0.137001 SUCCESS  81
101001000  269  262  267  251  237  260  259  240  5.156857 0.740687 SUCCESS  82
101001100  268  255  247  239  251  239  256  238  3.230392 0.919078 SUCCESS  83
101010000  262  241  239  279  272  250  261  254  7.487879 0.485021 SUCCESS  84
101010100  265  255  253  268  234  225  221  241  9.866869 0.274495 SUCCESS  85
101011000  241  246  258  261  240  247  247  268  2.996501 0.934577 SUCCESS  86
101011100  238  241  246  272  284  249  235  286 14.086085 0.079549 SUCCESS  87
101100000  243  248  232  265  265  253  270  254  5.183879 0.737754 SUCCESS  88
101100100  266  248  236  235  271  258  234  250  5.965842 0.651058 SUCCESS  89
101101000  237  234  226  252  239  254  274  238  7.697851 0.463528 SUCCESS  90
101101100  272  260  253  224  252  254  237  225  8.615184 0.375790 SUCCESS  91
101110000  223  247  206  272  266  243  229  227 18.329737 0.018886 SUCCESS  92
101110100  241  261  233  259  243  237  233  256  4.608396 0.798493 SUCCESS  93
101111000  230  241  226  260  253  261  273  257  7.716339 0.461658 SUCCESS  94
101111100  267  270  270  253  234  228  291  273 16.759216 0.032716 SUCCESS  95
110000000  256  237  256  230  235  253  247  260  4.067822 0.850953 SUCCESS  96
110000010  236  232  243  254  271  227  238  242  7.286828 0.506026 SUCCESS  97
110000100  257  265  293  236  262  271  264  260 13.253568 0.103418 SUCCESS  98
110001000  230  251  255  241  266  217  250  247  7.694101 0.463907 SUCCESS  99
110001010  228  256  254  244  245  249  254  215  7.601527 0.473329 SUCCESS 100
110010000  275  251  245  246  251  221  256  247  6.428453 0.599354 SUCCESS 101
110010010  268  250  262  262  287  261  247  261  9.247297 0.321866 SUCCESS 102
110010100  259  255  277  224  271  259  263  241  9.451968 0.305613 SUCCESS 103
110011000  240  258  234  266  237  264  239  240  5.218529 0.733984 SUCCESS 104
110011010  253  263  232  270  249  221  236  250  8.023152 0.431212 SUCCESS 105
110100000  249  252  247  233  223  269  256  242  6.173358 0.627820 SUCCESS 106
110100010  253  245  222  244  222  248  259  251  7.125600 0.523144 SUCCESS 107
110100100  233  258  256  250  254  278  232  236  7.070392 0.529057 SUCCESS 108
110101000  241  259  237  272  278  282  267  264 12.871895 0.116334 SUCCESS 109
110101010  255  253  237  244  227  234  241  253  4.601802 0.799164 SUCCESS 110
110101100  241  250  261  256  225  250  256  234  4.775184 0.781312 SUCCESS 111
110110000  245  231  233  238  259  243  257  257  4.327055 0.826476 SUCCESS 112
110110010  278  236  258  247  253  260  238  255  5.510085 0.701922 SUCCESS 113
110110100  254  253  233  255  220  222  283  258 13.137463 0.107207 SUCCESS 114
110111000  239  244  250  261  253  245  228  213  8.948760 0.346637 SUCCESS 115
110111010  221  260  259  260  249  242  237  270  7.264978 0.508332 SUCCESS 116
110111100  268  260  241  273  251  252  248  247  4.357697 0.823495 SUCCESS 117
111000000  254  249  245  234  257  271  232  230  6.252097 0.619016 SUCCESS 118
111000010  281  252  265  247  249  284  242  250 10.021503 0.263520 SUCCESS 119
111000100  246  258  268  239  243  245  245  236  3.390069 0.907552 SUCCESS 120
111000110  239  234  258  277  276  266  261  256  9.354998 0.313239 SUCCESS 121
111001000  257  250  243  257  285  239  265  241  7.447927 0.489163 SUCCESS 122
111001010  238  249  260  245  254  245  248  246  1.367539 0.994695 SUCCESS 123
111001100  248  268  240  243  256  239  217  264  7.936396 0.439708 SUCCESS 124
111010000  253  258  261  235  251  255  215  283 11.416444 0.179201 SUCCESS 125
111010010  240  264  237  259  236  253  259  233  4.635547 0.795724 SUCCESS 126
111010100  262  246  257  244  239  283  253  257  6.265156 0.617557 SUCCESS 127
111010110  220  221  277  273  242  253  240  245 13.223442 0.104389 SUCCESS 128
111011000  249  237  245  249  256  228  274  258  5.609770 0.690850 SUCCESS 129
111011010  213  265  237  271  237  234  276  243 13.873657 0.085119 SUCCESS 130
111011100  250  243  249  243  279  246  242  230  5.872752 0.661483 SUCCESS 131
111100000  246  258  269  247  240  266  264  241  4.484792 0.810953 SUCCESS 132
111100010  245  267  258  229  262  225  282  215 15.872913 0.044236 SUCCESS 133
111100100  241  260  267  254  247  235  272  254  5.051483 0.752060 SUCCESS 134
111100110  263  266  236  267  245  239  218  257  8.807313 0.358811 SUCCESS 135
111101000  263  240  261  234  217  269  229  281 14.471766 0.070268 SUCCESS 136
111101010  278  247  241  250  248  245  256  267  5.084840 0.748471 SUCCESS 137
111101100  250  254  261  270  257  240  267  238  4.634513 0.795830 SUCCESS 138
111101110  254  283  242  242  257  236  248  261  6.635192 0.576454 SUCCESS 139
111110000  287  253  291  250  240  273  278  242 18.781875 0.016071 SUCCESS 140
111110010  228  257  260  242  267  257  260  258  4.964469 0.761367 SUCCESS 141
111110100  280  243  250  233  231  277  242  268 11.240218 0.188456 SUCCESS 142
111110110  238  246  255  288  239  256  253  248  7.446117 0.489351 SUCCESS 143
111111000  274  258  276  224  263  274  276  235 15.062117 0.057949 SUCCESS 144
111111010  282  239  241  246  252  268  234  260  7.971434 0.436265 SUCCESS 145
111111100  280  271  263  243  260  279  257  232 11.897673 0.155828 SUCCESS 146
111111110  275  257  250  236  255  268  259  245  5.487846 0.704386 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 249.984375	M = 128000	N = 8	m = 9	n = 1024000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  261  229  241  252  274  252  255  247  5.218659 0.733970 SUCCESS   0
000000011  266  240  256  273  267  269  239  255  7.112283 0.524568 SUCCESS   1
000000101  230  270  265  227  247  257  267  251  7.871103 0.446162 SUCCESS   2
000000111  247  262  253  267  257  252  254  252  2.173681 0.975219 SUCCESS   3
000001001  250  250  230  255  266  243  243  274  5.607572 0.691095 SUCCESS   4
000001011  232  245  229  216  254  249  250  268  9.454812 0.305392 SUCCESS   5
000001101  253  226  242  226  251  284  236  244 10.810190 0.212688 SUCCESS   6
000001111  225  252  263  254  257  273  262  263  7.060566 0.530112 SUCCESS   7
000010001  269  236  264  253  237  251  232  238  5.789745 0.670770 SUCCESS   8
000010011  231  251  234  234  234  223  236  243  8.690303 0.369091 SUCCESS   9
000010101  259  264  285  255  232  255  242  233  9.225446 0.323636 SUCCESS  10
000010111  238  216  243  247  234  247  254  249  6.775992 0.560983 SUCCESS  11
000011001  256  263  221  242  272  270  274  267 11.837164 0.158618 SUCCESS  12
000011011  257  219  273  248  236  271  251  261  9.526311 0.299857 SUCCESS  13
000011101  238  235  257  240  270  251  244  247  3.986109 0.858375 SUCCESS  14
000011111  281  228  265  255  236  258  258  254  8.424089 0.393177 SUCCESS  15
000100011  258  250  265  253  246  235  249  243  2.436792 0.964613 SUCCESS  16
000100101  264  258  265  262  289  271  242  273 13.189438 0.105496 SUCCESS  17
000100111  230  258  244  233  229  247  262  245  5.818707 0.667531 SUCCESS  18
000101001  242  239  256  247  243  267  249  248  2.369560 0.967536 SUCCESS  19
000101011  277  285  285  250  253  276  254  269 17.565875 0.024727 SUCCESS  20
000101101  248  263  237  221  259  245  238  235  6.852792 0.552596 SUCCESS  21
