		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 249.984375	M = 128000	N = 8	m = 9	n = 1024000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
101000100  253  255  249  244  272  236  256  246  3.323741 0.912430 SUCCESS  81
101001000  244  247  231  235  248  265  223  245  6.669713 0.572651 SUCCESS  82
101001100  275  250  252  255  236  226  255  265  6.936057 0.543547 SUCCESS  83
101010000  299  260  234  231  253  261  245  224 16.339402 0.037772 SUCCESS  84
101010100  275  242  265  229  230  271  238  249  9.685471 0.287799 SUCCESS  85
101011000  233  236  252  268  261  236  287  259 10.678570 0.220585 SUCCESS  86
101011100  243  252  225  258  266  238  275  259  7.647943 0.468593 SUCCESS  87
101100000  233  251  260  239  263  247  238  267  4.641883 0.795076 SUCCESS  88
101100100  247  242  265  223  254  279  244  254  8.010998 0.432397 SUCCESS  89
101101000  251  246  245  258  229  254  235  254  3.322836 0.912496 SUCCESS  90
101101100  228  255  234  240  232  245  236  260  6.238392 0.620548 SUCCESS  91
101110000  246  226  244  258  254  254  273  254  5.251499 0.730388 SUCCESS  92
101110100  230  252  261  239  237  253  263  237  4.804016 0.778303 SUCCESS  93
101111000  251  250  234  252  246  238  255  235  2.771143 0.947889 SUCCESS  94
101111100  249  261  251  244  240  246  279  269  6.115952 0.634245 SUCCESS  95
110000000  266  263  255  228  251  242  248  254  4.216897 0.837043 SUCCESS  96
110000010  240  250  281  228  250  248  248  274  8.810933 0.358496 SUCCESS  97
110000100  273  236  269  271  257  253  249  249  6.573390 0.583279 SUCCESS  98
110001000  243  266  249  247  248  226  236  260  4.924388 0.765626 SUCCESS  99
110001010  234  233  249  283  283  237  255  253 12.113592 0.146207 SUCCESS 100
110010000  234  232  248  250  245  292  263  234 11.576121 0.171142 SUCCESS 101
110010010  237  247  254  249  213  257  254  288 12.714028 0.122075 SUCCESS 102
110010100  268  239  252  261  273  252  228  240  6.981438 0.538637 SUCCESS 103
110011000  258  253  273  243  244  233  247  229  5.897317 0.658733 SUCCESS 104
110011010  264  240  227  253  264  223  253  219 11.283531 0.186146 SUCCESS 105
110100000  225  273  264  276  219  255  232  230 15.453875 0.050898 SUCCESS 106
110100010  239  259  271  238  271  237  269  249  7.281915 0.506544 SUCCESS 107
110100100  247  270  221  244  238  248  255  251  6.037212 0.643063 SUCCESS 108
110101000  258  237  238  241  258  224  231  235  7.370998 0.497184 SUCCESS 109
110101010  254  240  265  253  235  260  258  254  3.126182 0.926191 SUCCESS 110
110101100  229  235  251  243  269  254  254  238  5.180646 0.738105 SUCCESS 111
110110000  259  264  251  260  243  249  232  253  3.149972 0.924596 SUCCESS 112
110110010  261  253  258  210  257  257  235  225 11.338998 0.183221 SUCCESS 113
110110100  240  228  239  278  241  279  251  279 13.463410 0.096869 SUCCESS 114
110111000  250  246  249  247  261  228  243  238  3.404291 0.906489 SUCCESS 115
110111010  227  273  235  251  229  245  254  238  7.896186 0.443676 SUCCESS 116
110111100  263  237  243  261  238  254  253  229  4.622747 0.797031 SUCCESS 117
111000000  275  249  240  241  241  224  277  240  9.899063 0.272182 SUCCESS 118
111000010  248  246  259  248  245  238  229  245  3.056234 0.930779 SUCCESS 119
111000100  240  254  274  265  243  248  268  272  7.364533 0.497861 SUCCESS 120
111000110  248  264  239  215  235  223  246  253 10.436921 0.235688 SUCCESS 121
111001000  226  248  235  256  282  241  253  258  8.353236 0.399747 SUCCESS 122
111001010  246  237  227  257  268  281  283  255 13.089366 0.108812 SUCCESS 123
111001100  254  248  292  245  229  259  244  252  9.812695 0.278419 SUCCESS 124
111010000  225  283  253  254  217  262  229  244 14.265543 0.075101 SUCCESS 125
111010010  259  285  221  260  253  250  251  270 10.999345 0.201736 SUCCESS 126
111010100  254  260  241  256  245  241  241  246  1.801834 0.986496 SUCCESS 127
111010110  222  204  241  254  249  243  253  233 13.826465 0.086402 SUCCESS 128
111011000  267  257  260  240  235  268  239  267  6.197923 0.625072 SUCCESS 129
111011010  242  244  221  251  261  248  245  248  4.529398 0.806485 SUCCESS 130
111011100  257  253  251  243  260  250  247  257  1.102877 0.997511 SUCCESS 131
111100000  274  256  261  232  243  239  263  252  5.794917 0.670192 SUCCESS 132
111100010  236  272  271  281  256  261  279  257 12.960461 0.113217 SUCCESS 133
111100100  234  231  235  266  253  239  263  257  5.979806 0.649494 SUCCESS 134
111100110  256  228  267  262  229  249  260  255  6.289592 0.614828 SUCCESS 135
111101000  253  270  273  260  232  229  222  261 11.204016 0.190405 SUCCESS 136
111101010  252  227  266  252  242  226  225  269 10.003014 0.264814 SUCCESS 137
111101100  270  237  258  245  263  261  215  247  9.027240 0.340003 SUCCESS 138
111101110  232  263  252  251  273  244  238  257  5.197842 0.736236 SUCCESS 139
111110000  252  256  250  233  245  245  246  242  1.895055 0.984062 SUCCESS 140
111110010  249  227  242  245  245  254  285  246  7.864251 0.446842 SUCCESS 141
111110100  251  254  262  274  260  241  248  274  6.206069 0.624161 SUCCESS 142
111110110  269  254  210  266  278  262  242  248 13.363337 0.099945 SUCCESS 143
111111000  251  266  256  246  246  246  242  234  2.733131 0.949973 SUCCESS 144
111111010  245  247  273  257  227  223  263  268  9.777010 0.281027 SUCCESS 145
111111100  243  258  276  240  240  248  251  242  4.377091 0.821600 SUCCESS 146
111111110  270  246  291  228  225  250  231  227 16.942554 0.030713 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 249.984375	M = 128000	N = 8	m = 9	n = 1024000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  260  248  253  230  249  232  231  235  5.883612 0.660267 SUCCESS   0
000000011  258  260  254  232  249  245  249  262  2.793899 0.946618 SUCCESS   1
000000101  276  253  264  259  232  242  241  257  6.126424 0.633073 SUCCESS   2
000000111  256  255  257  224  249  232  248  255  4.713511 0.787711 SUCCESS   3
000001001  276  270  265  253  296  222  245  244 17.679911 0.023759 SUCCESS   4
000001011  250  249  262  276  246  252  246  251  3.554012 0.894958 SUCCESS   5
000001101  239  251  225  270  238  228  258  268  8.946174 0.346857 SUCCESS   6
000001111  237  254  262  247  258  236  270  234  5.188016 0.737305 SUCCESS   7
000010001  253  240  245  243  256  247  265  241  2.208073 0.973959 SUCCESS   8
000010011  263  275  260  259  282  227  230  228 14.119830 0.078695 SUCCESS   9
000010101  271  227  243  236  227  254  231  233  9.960994 0.267774 SUCCESS  10
000010111  257  207  242  252  247  279  256  256 11.948226 0.153529 SUCCESS  11
000011001  251  270  220  262  276  261  243  236 10.292113 0.245119 SUCCESS  12
000011011  254  255  211  253  266  234  257  254  8.885018 0.352088 SUCCESS  13
000011101  256  233  263  247  231  250  252  288  9.568202 0.296649 SUCCESS  14
000011111  231  252  244  256  249  258  254  234  3.199491 0.921222 SUCCESS  15
000100011  264  220  235  255  227  253  267  221 12.462554 0.131728 SUCCESS  16
000100101  257  249  249  256  243  258  254  279  4.379030 0.821410 SUCCESS  17
000100111  257  230  236  243  256  245  239  240  4.031103 0.854306 SUCCESS  18
000101001  232  274  263  274  221  237  259  233 12.514659 0.129676 SUCCESS  19
000101011  258  240  252  249  251  249  268  248  2.066497 0.978905 SUCCESS  20
000101101  251  249  274  259  272  277  241  249  8.093745 0.424367 SUCCESS  21
000101111  245  217  247  239  243  271  224  250  9.962804 0.267646 SUCCESS  22
000110011  264  240  226  269  257  281  230  238 11.531515 0.173362 SUCCESS  23
000110101  237  276  238  266  256  249  257  236  6.319717 0.611466 SUCCESS  24
000110111  256  263  240  258  259  251  226  238  4.843709 0.774143 SUCCESS  25
000111001  236  232  239  218  232  241  247  256  8.737754 0.364900 SUCCESS  26
000111011  257  234  249  224  241  253  263  274  7.516970 0.482015 SUCCESS  27
000111101  257  253  257  229  257  239  248  262  3.583232 0.892635 SUCCESS  28
000111111  248  244  262  260  224  244  281  224 10.892032 0.207892 SUCCESS  29
001000011  260  264  231  234  239  266  253  261  5.876113 0.661107 SUCCESS  30
001000101  224  247  272  247  270  239  233  276 11.023006 0.200399 SUCCESS  31
001000111  272  224  235  232  249  258  272  232 10.679345 0.220538 SUCCESS  32
001001011  244  224  255  246  224  260  258  262  7.183135 0.517009 SUCCESS  33
001001101  259  267  242  241  277  254  234  260  6.690400 0.570374 SUCCESS  34
001001111  253  246  253  265  235  231  272  255  5.603305 0.691570 SUCCESS  35
001010011  221  267  256  248  217  247  260  277 12.812549 0.118464 SUCCESS  36
001010101  253  284  255  229  254  236  255  245  7.833479 0.449903 SUCCESS  37
001010111  250  240  258  245  258  259  288  264  8.175200 0.416546 SUCCESS  38
001011011  242  246  257  254  264  269  250  267  4.106481 0.847391 SUCCESS  39
001011101  241  229  226  242  236  263  225  243  9.094085 0.334421 SUCCESS  40
001011111  252  215  283  255  246  240  227  254 12.425059 0.133223 SUCCESS  41
001100101  241  245  249  235  262  264  261  255  3.385931 0.907860 SUCCESS  42
001100111  250  225  233  260  265  257  224  261  8.623200 0.375072 SUCCESS  43
001101011  243  246  244  256  240  255  254  265  2.081495 0.978411 SUCCESS  44
001101101  254  292  241  276  275  239  273  245 15.887394 0.044021 SUCCESS  45
001101111  256  244  227  259  255  245  238  234  4.678085 0.791363 SUCCESS  46
001110101  260  242  263  260  249  248  267  244  3.161091 0.923845 SUCCESS  47
001110111  255  223  270  240  247  254  231  268  8.124259 0.421427 SUCCESS  48
001111011  268  230  257  252  284  240  251  270 10.077099 0.259656 SUCCESS  49
001111101  271  251  244  236  246  271  247  238  5.312913 0.723668 SUCCESS  50
001111111  231  265  269  265  224  231  269  253 10.671200 0.221034 SUCCESS  51
010000011  236  246  243  277  248  230  263  224  9.259321 0.320895 SUCCESS  52
010000111  263  253  237  227  238  262  259  269  6.645665 0.575300 SUCCESS  53
010001011  241  246  239  237  269  249  225  270  7.336606 0.500789 SUCCESS  54
010001111  258  226  267  258  230  239  248  232  7.615620 0.471888 SUCCESS  55
010010011  265  268  254  271  269  245  259  290 12.729802 0.121491 SUCCESS  56
010010111  227  262  255  229  223  262  253  241  8.690562 0.369068 SUCCESS  57
010011011  283  280  250  265  250  241  223  255 12.620937 0.125575 SUCCESS  58
010011111  263  241  276  238  250  247  289  246 10.829842 0.211528 SUCCESS  59
010100011  245  247  264  235  256  240  230  242  4.359636 0.823306 SUCCESS  60
010100111  220  245  250  257  239  262  269  251  6.623038 0.577795 SUCCESS  61
010101011  252  293  247  242  246  256  261  255  8.794513 0.359926 SUCCESS  62
010101111  243  281  289  245  241  245  270  288 18.656202 0.016810 SUCCESS  63
010110011  227  234  247  253  248  253  238  253  4.003046 0.856848 SUCCESS  64
010110111  205  256  247  235  246  254  239  261 10.621552 0.224078 SUCCESS  65
010111011  248  265  243  281  235  285  246  252 11.215265 0.189798 SUCCESS  66
010111111  237  231  263  239  247  242  250  276  6.489608 0.592561 SUCCESS  67
011000111  264  283  240  243  233  237  241  238  8.756113 0.363286 SUCCESS  68
011001111  250  226  221  266  246  260  241  263  8.432622 0.392390 SUCCESS  69
011010111  246  243  253  268  230  268  248  258  4.925293 0.765530 SUCCESS  70
011011111  232  231  238  269  254  248  248  236  5.828016 0.666490 SUCCESS  71
011101111  272  263  242  227  248  262  248  262  6.382941 0.604419 SUCCESS  72
011111111  236  259  248  259  240  250  261  222  5.652566 0.686085 SUCCESS  73
100000000  260  248  253  230  249  232  231  235  5.883612 0.660267 SUCCESS  74
100010000  257  250  255  244  246  242  230  266  3.498933 0.899272 SUCCESS  75
100100000  264  247  251  253  280  247  271  221  9.958925 0.267921 SUCCESS  76
100101000  275  250  239  241  252  244  247  278  6.871410 0.550568 SUCCESS  77
100110000  254  236  229  270  239  249  270  244  6.664154 0.573263 SUCCESS  78
100111000  249  254  235  242  244  261  228  249  3.917325 0.864505 SUCCESS  79
101000000  244  288  254  246  253  229  261  275 11.210481 0.190056 SUCCESS  80
101000100  272  232  237  238  258  257  257  260  5.723418 0.678181 SUCCESS  81
101001000  241  240  252  254  251  277  248  203 13.003515 0.111729 SUCCESS  82
101001100  262  256  261  226  246  255  242  258  4.328477 0.826338 SUCCESS  83
101010000  256  244  282  249  270  253  236  235  7.975960 0.435822 SUCCESS  84
101010100  256  251  256  223  246  221  243  243  7.261487 0.508701 SUCCESS  85
101011000  249  266  241  248  256  253  234  225  5.242578 0.731362 SUCCESS  86
101011100  280  239  253  240  241  238  282  253  9.883418 0.273304 SUCCESS  87
101100000  265  262  246  268  245  259  235  254  4.373471 0.821954 SUCCESS  88
101100100  262  233  247  254  252  268  243  263  4.156776 0.842709 SUCCESS  89
101101000  231  279  243  245  258  240  285  242 11.293875 0.185597 SUCCESS  90
101101100  249  238  232  273  264  263  286  249 11.012404 0.200997 SUCCESS  91
101110000  267  252  243  249  260  243  234  258  3.360331 0.909755 SUCCESS  92
101110100  228  243  265  237  255  249  248  254  4.022958 0.855046 SUCCESS  93
101111000  254  262  252  240  266  258  247  245  2.560008 0.958874 SUCCESS  94
101111100  228  220  248  257  246  259  252  247  6.394966 0.603080 SUCCESS  95
110000000  281  239  243  235  251  240  234  256  7.233560 0.511656 SUCCESS  96
110000010  264  240  274  267  237  245  265  254  6.609204 0.579322 SUCCESS  97
110000100  241  236  216  258  244  253  247  244  6.558133 0.584967 SUCCESS  98
110001000  238  243  250  256  239  227  235  246  4.625333 0.796767 SUCCESS  99
110001010  234  270  239  233  217  242  261  213 15.333762 0.052971 SUCCESS 100
110010000  266  256  264  254  260  276  282  246  9.612162 0.293309 SUCCESS 101
110010010  248  267  259  235  256  272  258  255  5.004420 0.757104 SUCCESS 102
110010100  258  260  254  235  258  247  268  285  8.394869 0.395879 SUCCESS 103
110011000  259  244  208  265  264  263  249  253 10.265479 0.246885 SUCCESS 104
110011010  245  250  263  256  227  237  255  241  4.274691 0.831528 SUCCESS 105
110100000  247  270  248  244  258  232  285  259  8.871960 0.353212 SUCCESS 106
110100010  247  244  276  268  254  254  255  263  5.266497 0.728750 SUCCESS 107
110100100  233  247  248  258  256  272  250  243  3.869358 0.868714 SUCCESS 108
110101000  258  273  255  258  282  260  250  251  7.487491 0.485061 SUCCESS 109
110101010  255  260  248  236  238  241  250  253  2.310343 0.969989 SUCCESS 110
110101100  244  247  264  259  239  231  256  242  3.737867 0.879966 SUCCESS 111
110110000  264  248  240  266  230  252  247  245  4.111523 0.846924 SUCCESS 112
110110010  245  235  230  249  265  244  250  243  3.970982 0.859732 SUCCESS 113
110110100  241  257  246  225  244  249  264  238  4.745059 0.784445 SUCCESS 114
110111000  245  250  255  248  248  259  232  260  2.328962 0.969230 SUCCESS 115
110111010  237  256  280  240  267  272  223  287 16.871960 0.031470 SUCCESS 116
110111100  262  273  246  241  266  274  248  273  8.844032 0.355624 SUCCESS 117
111000000  269  237  241  230  248  233  231  255  6.984929 0.538260 SUCCESS 118
111000010  237  224  225  237  233  229  241  243 10.322368 0.243125 SUCCESS 119
111000100  229  252  254  236  241  248  240  266  4.538448 0.805574 SUCCESS 120
111000110  230  271  246  257  256  237  238  238  5.784703 0.671334 SUCCESS 121
111001000  266  234  270  260  230  260  269  245  7.857139 0.447548 SUCCESS 122
111001010  248  239  258  267  253  263  276  279  9.001253 0.342190 SUCCESS 123
111001100  247  237  212  243  260  267  273  262 11.307580 0.184873 SUCCESS 124
111010000  240  230  223  250  262  237  238  233  8.160073 0.417992 SUCCESS 125
111010010  229  247  233  246  258  242  253  261  4.187160 0.839855 SUCCESS 126
111010100  270  257  251  250  255  263  237  256  3.517681 0.897813 SUCCESS 127
111010110  246  258  243  263  244  273  230  234  6.283515 0.615507 SUCCESS 128
111011000  260  260  259  301  252  230  246  226 16.049139 0.041682 SUCCESS 129
111011010  232  228  265  230  252  261  270  241  8.433398 0.392319 SUCCESS 130
111011100  248  214  268  259  246  257  238  258  8.182182 0.415880 SUCCESS 131
111100000  286  249  274  256  248  256  244  265  9.153689 0.329497 SUCCESS 132
111100010  218  254  245  260  226  255  254  240  7.780339 0.455216 SUCCESS 133
111100100  245  252  275  262  229  246  257  269  6.893261 0.548192 SUCCESS 134
111100110  263  269  228  239  268  256  266  247  7.286440 0.506067 SUCCESS 135
111101000  255  224  218  239  261  248  242  245  8.514206 0.384917 SUCCESS 136
111101010  258  263  258  244  228  250  224  244  6.322044 0.611207 SUCCESS 137
111101100  278  254  266  262  258  243  257  235  6.572873 0.583336 SUCCESS 138
111101110  249  249  267  238  260  239  236  272  5.528832 0.699844 SUCCESS 139
111110000  245  230  263  258  253  243  251  262  3.562933 0.894251 SUCCESS 140
111110010  247  248  274  260  251  248  262  273  5.663943 0.684817 SUCCESS 141
111110100  249  243  241  254  248  252  267  252  1.854327 0.985157 SUCCESS 142
111110110  231  230  262  267  247  254  264  228  7.854683 0.447793 SUCCESS 143
111111000  228  232  255  240  233  245  257  243  5.556113 0.696816 SUCCESS 144
111111010  255  233  243  246  235  242  258  258  3.289479 0.914900 SUCCESS 145
111111100  210  281  271  262  225  250  255  237 16.403531 0.036955 SUCCESS 146
111111110  236  259  248  259  240  250  261  222  5.652566 0.686085 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 249.984375	M = 128000	N = 8	m = 9	n = 1024000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  240  257  232  250  269  255  226  264  6.747160 0.564142 SUCCESS   0
000000011  244  255  249  247  268  253  223  263  5.387127 0.715511 SUCCESS   1
000000101  265  255  247  254  258  243  236  278  5.664590 0.684745 SUCCESS   2
000000111  210  234  249  244  262  269  271  256 11.894311 0.155982 SUCCESS   3
000001001  268  242  246  213  243  259  251  277 10.893584 0.207802 SUCCESS   4
000001011  250  262  245  235  252  238  238  264  3.647103 0.887478 SUCCESS   5
000001101  243  246  241  228  238  235  233  247  5.354675 0.719082 SUCCESS   6
000001111  216  252  282  258  268  241  274  244 13.513059 0.095374 SUCCESS   7
000010001  250  273  255  270  263  257  273  265  7.982295 0.435202 SUCCESS   8
000010011  269  237  249  238  237  251  272  249  5.502974 0.702711 SUCCESS   9
000010101  259  258  263  262  245  209  237  229 11.472170 0.176353 SUCCESS  10
000010111  229  248  280  242  264  235  257  264  8.587515 0.378277 SUCCESS  11
000011001  246  230  244  240  231  232  229  241  7.263814 0.508455 SUCCESS  12
000011011  258  266  244  249  240  229  253  262  4.348517 0.824390 SUCCESS  13
000011101  261  245  232  245  264  267  245  273  6.350877 0.607992 SUCCESS  14
000011111  251  223  275  244  271  264  252  233  9.604533 0.293886 SUCCESS  15
000100011  242  279  221  260  263  238  270  246 10.656202 0.221950 SUCCESS  16
000100101  249  243  261  252  268  246  279  276  8.416719 0.393857 SUCCESS  17
000100111  259  239  247  237  230  244  258  244  3.784412 0.876032 SUCCESS  18
000101001  262  260  265  255  254  261  241  246  3.017705 0.933242 SUCCESS  19
000101011  224  260  263  259  242  259  240  227  7.443919 0.489579 SUCCESS  20
000101101  268  252  243  247  226  253  235  262  5.542279 0.698351 SUCCESS  21
000101111  238  227  261  252  282  249  246  256  7.759006 0.457358 SUCCESS  22
000110011  279  245  255  250  236  254  246  275  7.220760 0.513013 SUCCESS  23
000110101  248  233  263  268  232  231  295  243 14.668679 0.065917 SUCCESS  24
000110111  264  246  262  287  247  255  260  275 10.289657 0.245282 SUCCESS  25
000111001  241  273  242  236  240  231  251  253  5.543960 0.698165 SUCCESS  26
000111011  255  236  251  238  260  240  216  273  9.309228 0.316885 SUCCESS  27
000111101  249  222  264  241  241  235  282  228 11.894182 0.155988 SUCCESS  28
000111111  254  254  241  247  286  245  255  249  6.081818 0.638067 SUCCESS  29
001000011  237  235  229  257  274  256  251  238  6.786465 0.559837 SUCCESS  30
001000101  248  244  265  269  260  260  248  249  3.443725 0.903513 SUCCESS  31
001000111  242  279  235  257  269  248  249  236  7.205115 0.514673 SUCCESS  32
001001011  246  222  238  233  266  225  283  253 13.284857 0.102417 SUCCESS  33
001001101  267  279  239  237  257  261  248  260  7.014925 0.535023 SUCCESS  34
001001111  300  252  240  239  239  249  242  259 12.381616 0.134972 SUCCESS  35
001010011  228  261  251  259  259  269  276  247  7.511669 0.482562 SUCCESS  36
001010101  268  252  234  258  217  230  254  247  8.939838 0.347397 SUCCESS  37
001010111  230  233  269  263  215  251  218  255 14.447459 0.070823 SUCCESS  38
001011011  243  228  269  241  257  253  247  243  4.511426 0.808289 SUCCESS  39
001011101  213  245  280  239  225  229  237  242 15.354578 0.052607 SUCCESS  40
001011111  250  244  241  241  266  261  249  231  3.874529 0.868263 SUCCESS  41
001100101  246  261  224  239  241  242  277  209 14.427418 0.071283 SUCCESS  42
001100111  254  245  248  275  230  245  242  270  6.451337 0.596810 SUCCESS  43
001101011  260  254  268  264  224  239  275  253  8.556743 0.381055 SUCCESS  44
001101101  248  267  217  237  267  264  260  254  8.905446 0.350335 SUCCESS  45
001101111  290  252  232  279  236  286  263  258 18.605778 0.017116 SUCCESS  46
001110101  241  257  250  253  254  281  233  234  6.872574 0.550441 SUCCESS  47
001110111  258  237  264  262  231  256  229  270  7.493697 0.484419 SUCCESS  48
001111011  278  218  273  263  241  234  262  233 13.554303 0.094148 SUCCESS  49
001111101  257  257  255  252  241  257  267  240  2.676113 0.953012 SUCCESS  50
001111111  274  256  256  258  255  258  256  274  5.857366 0.663205 SUCCESS  51
010000011  234  246  226  244  224  229  248  261  8.784687 0.360784 SUCCESS  52
010000111  236  232  235  256  277  241  235  248  7.524857 0.481202 SUCCESS  53
010001011  254  226  284  249  248  245  258  261  8.124905 0.421365 SUCCESS  54
010001111  257  247  225  241  257  254  251  249  3.435709 0.904122 SUCCESS  55
010010011  257  284  247  232  270  234  228  281 15.060178 0.057986 SUCCESS  56
010010111  264  225  242  233  230  224  267  227 12.682093 0.123266 SUCCESS  57
010011011  267  277  253  225  278  251  241  240 10.835790 0.211178 SUCCESS  58
010011111  263  276  212  232  257  252  264  265 12.774796 0.119837 SUCCESS  59
010100011  266  260  250  256  249  254  254  234  2.820533 0.945110 SUCCESS  60
010100111  244  257  238  250  256  276  267  252  5.110699 0.745682 SUCCESS  61
010101011  259  249  238  266  219  240  257  241  6.917826 0.545524 SUCCESS  62
010101111  217  227  257  260  216  269  236  254 14.455992 0.070627 SUCCESS  63
010110011  244  250  252  244  242  267  241  260  2.523806 0.960612 SUCCESS  64
010110111  231  232  276  257  281  244  251  230 11.618012 0.169078 SUCCESS  65
010111011  239  231  253  234  254  231  233  234  6.893519 0.548164 SUCCESS  66
010111111  231  219  234  233  247  239  245  243  8.554416 0.381266 SUCCESS  67
011000111  246  273  289  243  247  221  267  230 15.120040 0.056853 SUCCESS  68
011001111  275  254  277  230  233  226  232  242 12.503281 0.130122 SUCCESS  69
011010111  254  248  254  237  250  247  260  266  2.360380 0.967924 SUCCESS  70
011011111  260  245  233  271  269  269  243  265  7.665398 0.466818 SUCCESS  71
011101111  239  238  262  245  228  258  253  240  4.509099 0.808522 SUCCESS  72
011111111  232  239  247  255  255  262  283  269  8.685648 0.369504 SUCCESS  73
100000000  240  257  232  250  269  255  226  264  6.747160 0.564142 SUCCESS  74
100010000  237  280  221  285  269  247  247  261 15.045438 0.058268 SUCCESS  75
100100000  263  262  230  231  252  227  247  277  9.700727 0.286662 SUCCESS  76
100101000  255  265  249  230  259  229  255  276  7.755774 0.457683 SUCCESS  77
100110000  253  265  276  259  274  251  278  274 12.131046 0.145452 SUCCESS  78
100111000  252  254  276  253  244  257  256  237  4.120444 0.846096 SUCCESS  79
101000000  238  247  246  232  234  254  232  251  4.501212 0.809312 SUCCESS  80
101000100  237  276  237  254  280  239  253  249  8.530368 0.383447 SUCCESS  81
101001000  249  263  229  252  276  228  251  239  7.846925 0.448564 SUCCESS  82
101001100  237  268  277  263  265  266  257  250  7.958634 0.437521 SUCCESS  83
101010000  253  240  279  260  234  245  260  266  6.984541 0.538301 SUCCESS  84
101010100  247  245  243  233  224  261  255  259  5.270893 0.728269 SUCCESS  85
101011000  257  248  260  255  238  248  254  242  1.680040 0.989300 SUCCESS  86
101011100  256  232  257  255  224  235  257  242  5.985495 0.648857 SUCCESS  87
101100000  250  242  261  242  242  258  266  261  3.122432 0.926441 SUCCESS  88
101100100  255  248  262  240  257  240  227  246  3.997616 0.857338 SUCCESS  89
101101000  257  264  231  236  237  243  260  235  5.559992 0.696385 SUCCESS  90
101101100  254  274  258  260  239  250  250  267  4.830909 0.775487 SUCCESS  91
101110000  231  258  259  232  233  222  276  228 12.664897 0.123911 SUCCESS  92
101110100  256  238  265  239  244  274  257  242  5.177802 0.738414 SUCCESS  93
101111000  235  257  253  261  240  256  215  249  7.302214 0.504405 SUCCESS  94
101111100  244  275  281  260  265  287  237  253 14.469180 0.070327 SUCCESS  95
110000000  234  269  247  251  261  253  247  248  3.187079 0.922074 SUCCESS  96
110000010  224  237  263  210  260  256  259  266 12.768848 0.120054 SUCCESS  97
110000100  251  232  250  258  270  236  292  240 11.791135 0.160769 SUCCESS  98
110001000  240  280  228  297  253  240  250  256 15.884937 0.044057 SUCCESS  99
110001010  259  240  273  256  229  261  217  227 12.101051 0.146752 SUCCESS 100
110010000  253  255  249  241  264  274  256  266  4.889608 0.769307 SUCCESS 101
110010010  222  252  242  247  278  235  250  271  9.561091 0.297192 SUCCESS 102
110010100  252  253  229  250  244  259  270  242  4.282061 0.830821 SUCCESS 103
110011000  262  255  251  252  232  243  258  273  4.719976 0.787043 SUCCESS 104
110011010  267  257  252  267  259  256  247  246  3.204792 0.920856 SUCCESS 105
110100000  237  262  231  242  222  246  230  228 10.007539 0.264497 SUCCESS 106
110100010  252  259  263  230  252  253  246  257  3.030117 0.932453 SUCCESS 107
110100100  268  264  224  232  243  230  261  255  8.747580 0.364035 SUCCESS 108
110101000  258  232  256  255  252  233  290  240 10.105543 0.257696 SUCCESS 109
110101010  238  242  247  241  226  271  258  253  5.739580 0.676376 SUCCESS 110
110101100  243  250  252  248  219  247  252  261  4.762642 0.782618 SUCCESS 111
110110000  233  243  259  257  236  248  252  260  3.192509 0.921702 SUCCESS 112
110110010  260  257  257  260  225  240  241  248  4.582667 0.801107 SUCCESS 113
110110100  279  253  209  222  248  227  258  247 16.215281 0.039400 SUCCESS 114
110111000  223  261  252  250  239  226  244  224  9.352412 0.313444 SUCCESS 115
110111010  263  243  247  234  248  277  254  235  6.028291 0.644063 SUCCESS 116
110111100  238  257  259  252  232  257  247  223  5.742295 0.676073 SUCCESS 117
111000000  247  241  264  257  228  254  250  235  4.382521 0.821068 SUCCESS 118
111000010  260  252  249  246  271  234  293  234 12.098594 0.146859 SUCCESS 119
111000100  230  254  260  287  243  251  232  264 10.159976 0.253977 SUCCESS 120
111000110  237  263  268  279  247  259  255  236  7.510893 0.482642 SUCCESS 121
111001000  241  257  238  263  270  249  263  252  4.211984 0.837509 SUCCESS 122
111001010  245  264  253  247  250  269  236  257  3.498804 0.899282 SUCCESS 123
111001100  262  260  222  271  227  230  277  242 13.201204 0.105112 SUCCESS 124
111010000  230  235  242  267  248  261  244  227  6.895200 0.547981 SUCCESS 125
111010010  272  228  251  241  228  238  254  232  8.341988 0.400796 SUCCESS 126
111010100  248  252  266  255  264  256  255  268  3.607798 0.890664 SUCCESS 127
