file	bytes	bits	zeros	ones	p1	shannon_entropy_byte	min_entropy_byte
RO2.DAT	108873	870984	245997	624987	0.717564	0.832845	0.434099
RO3.DAT	106953	855624	343514	512110	0.598522	1.488114	0.987817
RO4.DAT	111465	891720	347812	543908	0.609954	0.864310	0.295477
RO5.DAT	101513	812104	364378	447726	0.551316	1.449207	1.165834
RO6.DAT	108265	866120	238609	627511	0.724508	1.347007	0.910201
RO7.DAT	120265	962120	242728	719392	0.747715	1.109315	0.919141
RO8.DAT	103721	829768	371477	458291	0.552312	1.227437	0.782143
RO9.DAT	100361	802888	303949	498939	0.621430	1.155610	0.910963
